Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Dacia,Sandero,2009.0,Essence,7.0,5.0,Non,Bon,Manuelle,WW au Maroc,53000.0,174999.5,16.0
Peugeot,2008,2022.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,175000.0,77499.5,3.0
Kia,Picanto,2008.0,Essence,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,59000.0,224999.5,17.0
Dacia,Logan,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,115000.0,67499.5,6.0
Volvo,XC60,2014.0,Diesel,8.0,5.0,Non,Neuf,Automatique,WW au Maroc,145000.0,164999.5,11.0
Ford,Tourneo,2010.0,Diesel,7.0,5.0,Oui,Excellent,Manuelle,Dédouanée,90000.0,224999.5,15.0
BMW,Série 1,2010.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,92000.0,184999.5,15.0
Toyota,Yaris,2019.0,Essence,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,118999.0,154999.5,6.0
Chevrolet,Cruze,2011.0,Essence,9.0,5.0,Non,Excellent,Manuelle,WW au Maroc,69000.0,184999.5,14.0
BMW,Série 1,2017.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,193000.0,194999.5,8.0
Fiat,Doblo,2020.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,98000.0,224999.5,5.0
Mercedes-Benz,Classe E,2004.0,Diesel,9.0,5.0,Non,Excellent,Manuelle,Dédouanée,90000.0,274999.5,21.0
Renault,Clio,2019.0,Diesel,6.0,5.0,Oui,Bon,Automatique,WW au Maroc,135000.0,124999.5,6.0
Mercedes-Benz,Classe C,2011.0,Diesel,9.0,5.0,Non,Très bon,Automatique,Dédouanée,172000.0,224999.5,14.0
DFSK,K01,2019.0,Essence,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,67000.0,67499.5,6.0
Audi,A4,2015.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,172000.0,154999.5,10.0
Citroen,Xsara,2002.0,Diesel,7.0,5.0,Non,Bon,Manuelle,WW au Maroc,40000.0,224999.5,23.0
Renault,Clio,2021.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,155000.0,134999.5,4.0
Hyundai,i20,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,123000.0,124999.5,6.0
Renault,12,2014.0,Diesel,4.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,90000.0,2499.5,11.0
Fiat,Tipo,2022.0,Essence,9.0,5.0,Non,Excellent,Automatique,WW au Maroc,135000.0,17499.5,3.0
Ford,Kuga,2021.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,275000.0,57499.5,4.0
Mercedes-Benz,220,2005.0,Essence,8.0,5.0,Oui,Très bon,Manuelle,Dédouanée,80000.0,2499.5,20.0
Land Rover,Range Rover Sport,2015.0,Diesel,17.0,5.0,Oui,Très bon,Automatique,Importée neuve,300000.0,184999.5,10.0
Volkswagen,Tiguan,2018.0,Diesel,8.0,5.0,Oui,Bon,Automatique,WW au Maroc,230000.0,154999.5,7.0
Ford,Focus,2017.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,140000.0,144999.5,8.0
Kia,Sorento,2021.0,Diesel,9.0,5.0,Non,Excellent,Automatique,WW au Maroc,370000.0,72499.5,4.0
Hyundai,Tucson,2023.0,Hybride,9.0,5.0,Non,Excellent,Automatique,WW au Maroc,335000.0,72499.5,2.0
Renault,Espace,1997.0,Diesel,8.0,5.0,Non,Bon,Manuelle,Dédouanée,35000.0,2499.5,28.0
Volkswagen,Passat CC,2017.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,165000.0,174999.5,8.0
Mercedes-Benz,Classe E,2016.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,310000.0,154999.5,9.0
Peugeot,308,2020.0,Diesel,6.0,5.0,Non,Neuf,Automatique,WW au Maroc,177000.0,97499.5,5.0
Jeep,Wrangler,2017.0,Diesel,6.0,5.0,Non,Bon,Automatique,WW au Maroc,153000.0,7499.5,8.0
Mercedes-Benz,Classe GLC,2016.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,279000.0,144999.5,9.0
Dacia,Logan,2020.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,123000.0,104999.5,5.0
Hyundai,Tucson,2024.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,310000.0,22499.5,1.0
Alfa Romeo,Giulia,2018.0,Diesel,9.0,5.0,Oui,Très bon,Automatique,WW au Maroc,260000.0,174999.5,7.0
