Marque,Modèle,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Alfa Romeo,Giulia,Diesel,9.0,5,Oui,Très bon,Automatique,WW au Maroc,260000,174999.5,7
Peugeot,405,Diesel,7.0,5,Oui,Excellent,Manuelle,Dédouanée,30000,224999.5,27
Mercedes-Benz,Classe C,Diesel,7.0,5,Non,Très bon,Automatique,Importée neuve,255000,154999.5,10
BMW,Série 2,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,305000,37499.5,4
Mercedes-Benz,220,Diesel,9.0,5,Non,Excellent,Automatique,Dédouanée,67000,274999.5,24
Dacia,Dokker,Diesel,8.0,5,Oui,Excellent,Manuelle,WW au Maroc,105000,144999.5,7
Dacia,Dokker,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,130000,164999.5,5
Peugeot,3008,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,268000,97499.5,3
Citroen,Xsara,Diesel,8.0,5,Non,Bon,Automatique,Dédouanée,45000,374999.5,23
Renault,Kangoo,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,115000,134999.5,7
Dacia,Sandero,Essence,5.0,5,Non,Très bon,Manuelle,WW au Maroc,69000,57499.5,13
Peugeot,Partner,Diesel,6.0,5,Non,Correct,Manuelle,WW au Maroc,55000,374999.5,15
Peugeot,3008,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,245000,114999.5,5
Renault,Modus,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,60000,374999.5,18
Peugeot,2008,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,225000,47499.5,5
Mercedes-Benz,250,Diesel,9.0,5,Non,Très bon,Automatique,Dédouanée,185000,274999.5,12
Peugeot,308,Essence,8.0,5,Non,Excellent,Manuelle,WW au Maroc,61000,104999.5,17
MG,HS Phev,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,52000,174999.5,13
Audi,A3,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,240000,104999.5,6
Mercedes-Benz,220,Diesel,11.0,5,Non,Très bon,Automatique,Dédouanée,195000,194999.5,14
Volkswagen,Touareg,Diesel,12.0,3,Oui,Excellent,Automatique,WW au Maroc,163000,194999.5,9
BMW,X3,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,325000,154999.5,5
Volkswagen,Golf 5,Diesel,8.0,5,Oui,Très bon,Manuelle,Dédouanée,80000,374999.5,20
Lancia,Delta,Essence,8.0,5,Non,Très bon,Manuelle,WW au Maroc,75000,97499.5,10
Hyundai,Tucson,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,262000,104999.5,4
Peugeot,308,Diesel,7.0,5,Oui,Excellent,Manuelle,WW au Maroc,160000,2499.5,6
Volkswagen,Golf 5,Diesel,8.0,5,Non,Excellent,Manuelle,Dédouanée,68000,37499.5,21
Renault,19,Diesel,7.0,5,Oui,Bon,Manuelle,Dédouanée,28000,274999.5,29
Dacia,Dokker,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,135000,134999.5,3
Volkswagen,Polo,Essence,5.0,5,Non,Très bon,Manuelle,WW au Maroc,90000,164999.5,12
Mercedes-Benz,Classe ML,Diesel,12.0,5,Non,Excellent,Automatique,WW au Maroc,125000,224999.5,14
Peugeot,206,Essence,6.0,5,Non,Bon,Manuelle,WW au Maroc,47000,324999.5,18
Ford,Kuga,Diesel,8.0,5,Non,Très bon,Manuelle,Dédouanée,120000,104999.5,14
Peugeot,Partner,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,138000,134999.5,7
Dacia,Sandero,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,110000,17499.5,11
Nissan,Qashqai,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,218000,124999.5,7
Renault,Clio,Hybride,9.0,5,Oui,Excellent,Automatique,Dédouanée,195000,134999.5,5
Peugeot,208,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,148000,144999.5,4
Dacia,Lodgy,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,135000,17499.5,4
Volkswagen,T-Roc,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,320000,62499.5,4
Fiat,Tipo,Diesel,7.0,5,Non,Très bon,Manuelle,WW au Maroc,120000,7499.5,6
Citroen,Jumper,Diesel,9.0,5,Oui,Très bon,Manuelle,WW au Maroc,185000,134999.5,6
Hyundai,Sonata,Hybride,11.0,5,Non,Très bon,Automatique,WW au Maroc,279999,82499.5,4
Mitsubishi,L200,Diesel,10.0,5,Non,Très bon,Manuelle,WW au Maroc,125000,27499.5,12
Peugeot,306,Diesel,7.0,5,Non,Bon,Manuelle,Dédouanée,45000,22499.5,26
Citroen,Berlingo,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,186000,62499.5,3
Peugeot,208,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,118999,134999.5,8
Ford,Focus,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,103000,224999.5,13
Renault,Clio,Essence,6.0,5,Oui,Bon,Manuelle,WW au Maroc,44000,224999.5,23
DS,DS7,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,280000,104999.5,6
Nissan,Murano,Essence,20.0,5,Non,Correct,Automatique,WW au Maroc,41000,164999.5,19
Peugeot,208,Diesel,6.0,5,Oui,Neuf,Manuelle,WW au Maroc,123000,134999.5,6
Dacia,Sandero,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,125000,104999.5,7
Citroen,C3,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,143000,62499.5,4
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Excellent,Automatique,Dédouanée,310000,97499.5,8
Volkswagen,Golf 6,Diesel,8.0,5,Oui,Excellent,Manuelle,Dédouanée,113000,184999.5,10
Fiat,500,Essence,7.0,5,Oui,Excellent,Automatique,WW au Maroc,153000,32499.5,2
Volkswagen,Touareg,Diesel,12.0,5,Non,Très bon,Automatique,Dédouanée,73000,224999.5,17
Dacia,Logan,Diesel,6.0,3,Non,Excellent,Manuelle,WW au Maroc,117000,124999.5,6
Volkswagen,Golf 8,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,320000,57499.5,2
Hyundai,Creta,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,150000,154999.5,9
Renault,Megane,Diesel,6.0,5,Non,Neuf,Automatique,WW au Maroc,168000,134999.5,7
Toyota,Corolla,Diesel,5.0,5,Non,Très bon,Manuelle,WW au Maroc,78000,374999.5,15
Renault,Express,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,167000,77499.5,3
Peugeot,308,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,129000,184999.5,6
Mercedes-Benz,220,Diesel,9.0,5,Oui,Bon,Manuelle,Dédouanée,73000,274999.5,24
Opel,Insignia,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,185000,124999.5,7
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,290000,224999.5,5
Opel,Adam,Essence,7.0,3,Oui,Excellent,Manuelle,WW au Maroc,100000,37499.5,8
Opel,Corsa,Essence,7.0,5,Non,Excellent,Manuelle,WW au Maroc,130000,104999.5,5
Peugeot,2008,Diesel,6.0,5,Non,Excellent,Automatique,WW au Maroc,245000,97499.5,5
Mercedes-Benz,220,Diesel,8.0,5,Oui,Excellent,Automatique,Dédouanée,295000,144999.5,9
Peugeot,208,Diesel,6.0,3,Oui,Excellent,Manuelle,Dédouanée,160000,62499.5,2
Mercedes-Benz,220,Diesel,9.0,5,Non,Très bon,Manuelle,Dédouanée,88000,224999.5,22
Volkswagen,Golf 8,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,305000,104999.5,3
Citroen,C3,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,120000,174999.5,6
Mercedes-Benz,Classe B,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,130000,324999.5,12
Mercedes-Benz,Classe CLC,Diesel,9.0,5,Non,Très bon,Automatique,WW au Maroc,240000,224999.5,9
Renault,Clio,Diesel,7.0,5,Non,Très bon,Automatique,WW au Maroc,123000,144999.5,8
Volkswagen,Golf 8,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,310000,62499.5,3
Fiat,Punto,Diesel,5.0,5,Non,Excellent,Manuelle,WW au Maroc,85000,144999.5,10
Citroen,C-Elysée,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,128000,87499.5,3
Renault,Express,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,162000,274999.5,2
Dacia,Duster,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,128000,164999.5,11
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Très bon,Automatique,WW au Maroc,230000,184999.5,8
BMW,Série 4,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,279999,154999.5,8
Volkswagen,Golf 4,Diesel,8.0,5,Non,Excellent,Manuelle,Dédouanée,78000,184999.5,24
Opel,Corsa,Diesel,6.0,5,Non,Neuf,Manuelle,WW au Maroc,178000,7499.5,1
Citroen,C3,Diesel,6.0,5,Oui,Neuf,Manuelle,WW au Maroc,136000,124999.5,4
Porsche,Cayenne,Diesel,12.0,5,Non,Excellent,Automatique,Importée neuve,220000,164999.5,14
Peugeot,Partner,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,53000,374999.5,19
Seat,Arona,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,208000,52499.5,3
Hyundai,Tucson,Diesel,7.0,5,Oui,Excellent,Manuelle,WW au Maroc,200000,134999.5,7
Peugeot,208,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,148000,114999.5,5
BMW,X1,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,250000,87499.5,8
Mini,Cooper,Essence,11.0,3,Non,Excellent,Automatique,WW au Maroc,215000,104999.5,9
Peugeot,208,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,174000,42499.5,2
BMW,Série 2,Diesel,8.0,3,Oui,Excellent,Automatique,WW au Maroc,230000,144999.5,9
Audi,Q5,Diesel,8.0,5,Non,Excellent,Manuelle,WW au Maroc,178000,224999.5,11
Fiat,Palio,Essence,5.0,5,Oui,Très bon,Manuelle,Pas encore dédouanée,28000,224999.5,23
Renault,Clio,Diesel,7.0,5,Oui,Excellent,Manuelle,WW au Maroc,145000,77499.5,2
Fiat,Palio,Diesel,7.0,3,Oui,Bon,Manuelle,WW au Maroc,33000,7499.5,0
Dacia,Duster,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,135000,12499.5,11
Hyundai,i10,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,105000,82499.5,6
Mercedes-Benz,Classe A,Essence,11.0,5,Oui,Excellent,Automatique,Importée neuve,280000,42499.5,6
Dacia,Dokker,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,130000,77499.5,5
Dacia,Logan,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,85000,17499.5,8
Ford,Kuga,Diesel,8.0,5,Non,Excellent,Manuelle,WW au Maroc,120000,224999.5,13
Dacia,Sandero,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,147000,124999.5,3
Renault,Clio,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,165000,17499.5,2
Renault,Clio,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,138000,62499.5,4
Volkswagen,Caddy,Diesel,6.0,3,Non,Très bon,Manuelle,WW au Maroc,118000,154999.5,14
Citroen,Berlingo,Diesel,7.0,5,Non,Bon,Manuelle,WW au Maroc,52000,32499.5,23
Volkswagen,Golf 7,Diesel,8.0,5,Oui,Excellent,Manuelle,WW au Maroc,170000,92499.5,7
Hyundai,i20,Essence,7.0,5,Non,Très bon,Manuelle,WW au Maroc,70000,194999.5,13
Hyundai,ix35,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,170000,164999.5,9
Mercedes-Benz,Classe GLC,Diesel,8.0,5,Oui,Très bon,Automatique,WW au Maroc,340000,114999.5,6
Renault,Clio,Diesel,6.0,5,Non,Excellent,Automatique,WW au Maroc,142000,104999.5,5
Dacia,Duster,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,220000,22499.5,2
Volkswagen,Jetta,Diesel,8.0,5,Oui,Bon,Automatique,WW au Maroc,160000,104999.5,8
Hyundai,Creta,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,230000,134999.5,4
Renault,Trafic,Diesel,9.0,5,Non,Excellent,Manuelle,WW au Maroc,175000,224999.5,7
Seat,Leon,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,115000,164999.5,12
Volkswagen,Golf 5,Diesel,8.0,5,Oui,Excellent,Manuelle,Dédouanée,160000,114999.5,18
Renault,Clio,Diesel,6.0,5,Non,Bon,Automatique,WW au Maroc,110000,154999.5,7
Ford,Focus,Diesel,6.0,5,Non,Excellent,Manuelle,Importée neuve,148000,154999.5,9
Fiat,500,Essence,7.0,3,Non,Excellent,Manuelle,WW au Maroc,100000,104999.5,8
Mercedes-Benz,220,Diesel,8.0,5,Non,Bon,Automatique,Dédouanée,78000,224999.5,24
Nissan,Qashqai,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,130000,224999.5,14
Jeep,Grand Cherokee,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,239000,92499.5,6
Toyota,C-HR,Hybride,10.0,5,Oui,Très bon,Automatique,WW au Maroc,225000,97499.5,4
Renault,Kangoo,Diesel,6.0,5,Non,Excellent,Manuelle,Dédouanée,120000,124999.5,9
Peugeot,308,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,169000,134999.5,7
Fiat,Tipo,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,138000,82499.5,7
Nissan,Qashqai,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,175000,224999.5,9
Seat,Arona,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,205000,62499.5,2
Peugeot,208,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,133000,124999.5,6
Renault,Koleos,Diesel,8.0,5,Non,Bon,Manuelle,WW au Maroc,80000,164999.5,15
Peugeot,306,Diesel,7.0,5,Non,Bon,Manuelle,WW au Maroc,45000,374999.5,25
