Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Fiat,Fiorino,2018,Diesel,5 CV,150 000 - 159 999,5,Non,Excellent,Manuelle,Pas encore dédouanée,105 000 DH
Volkswagen,Touareg,2013,Diesel,12 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,137 000 DH
Volkswagen,Golf 7,2013,Diesel,8 CV,180 000 - 189 999,5,Non,Très bon,Manuelle,WW au Maroc,145 000 DH
Dacia,Dokker,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,120 000 DH
Hyundai,Tucson,2021,Diesel,6 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,
Jeep,Compass,2022,Diesel,6 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,225 000 DH
Peugeot,205,1988,Diesel,7 CV,300 000 - 349 999,5,Non,Très bon,Manuelle,Dédouanée,28 000 DH
Fiat,Doblo,2015,Diesel,6 CV,5 000 - 9 999,5,Non,Bon,Manuelle,WW au Maroc,68 000 DH
Fiat,500,2017,Diesel,5 CV,110 000 - 119 999,3,Non,Très bon,Manuelle,WW au Maroc,99 000 DH
Toyota,Yaris,2019,Hybride,9 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,
Peugeot,208,2024,Diesel,6 CV,5 000 - 9 999,5,Oui,Bon,Manuelle,WW au Maroc,
Audi,Q3,2024,Diesel,8 CV,10 000 - 14 999,5,Oui,Excellent,Automatique,Importée neuve,
Renault,Megane,2019,Diesel,6 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,WW au Maroc,168 000 DH
Fiat,Fiorino,2017,Diesel,7 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,Importée neuve,99 000 DH
Volkswagen,Passat,2009,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,Importée neuve,105 000 DH
Peugeot,Boxer,2019,Diesel,9 CV,140 000 - 149 999,5,Oui,Très bon,Manuelle,WW au Maroc,175 000 DH
Ford,Kuga,2012,Diesel,8 CV,200 000 - 249 999,5,Oui,Excellent,Automatique,WW au Maroc,125 000 DH
Peugeot,208,2013,Diesel,6 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,81 000 DH
Renault,Clio,2020,Diesel,6 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,140 000 DH
Land Rover,Range Rover Sport,2009,Diesel,12 CV,20 000 - 24 999,5,Non,Excellent,Automatique,Dédouanée,
Peugeot,Partner,2005,Diesel,7 CV,25 000 - 29 999,5,Non,Très bon,Manuelle,WW au Maroc,50 000 DH
Mercedes-Benz,Classe G,2013,Diesel,8 CV,140 000 - 149 999,,,,Manuelle,,
Peugeot,Rifter,2020,Diesel,6 CV,0 - 4 999,5,Non,Excellent,Manuelle,WW au Maroc,168 000 DH
Peugeot,Partner,2012,Diesel,6 CV,15 000 - 19 999,5,Non,Très bon,Manuelle,WW au Maroc,90 000 DH
Chevrolet,Optra,2005,Essence,9 CV,300 000 - 349 999,5,Non,Bon,Manuelle,WW au Maroc,28 000 DH
Renault,Megane,2023,Diesel,6 CV,30 000 - 34 999,5,Non,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,EQS,2023,Electrique,26 CV,25 000 - 29 999,5,Oui,Excellent,Automatique,Dédouanée,
Chevrolet,Spark,2012,Essence,6 CV,25 000 - 29 999,,,Très bon,Manuelle,,46 000 DH
BMW,Série 5,2022,Diesel,8 CV,50 000 - 54 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,Clio,2016,Essence,7 CV,120 000 - 129 999,,Non,Très bon,Manuelle,WW au Maroc,85 000 DH
Dacia,Duster,2019,Diesel,6 CV,150 000 - 159 999,5,Oui,Très bon,Automatique,,162 000 DH
Citroen,C4,2022,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,225 000 DH
BMW,Série 1,2022,Diesel,7 CV,40 000 - 44 999,5,Non,Très bon,Automatique,WW au Maroc,365 000 DH
Ford,Focus,2017,Diesel,6 CV,160 000 - 169 999,5,Non,Très bon,Manuelle,WW au Maroc,135 000 DH
Renault,Clio,2021,Essence,6 CV,110 000 - 119 999,5,Oui,Bon,Automatique,WW au Maroc,140 000 DH
Dacia,Duster,2018,Diesel,6 CV,140 000 - 149 999,5,Non,Très bon,Manuelle,,155 000 DH
Volvo,XC60,2019,Diesel,8 CV,120 000 - 129 999,5,Non,Excellent,Automatique,WW au Maroc,
Audi,A3,2017,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,215 000 DH
Peugeot,3008,2020,Diesel,8 CV,100 000 - 109 999,5,Oui,Très bon,Automatique,WW au Maroc,
Kia,Sportage,2021,Diesel,8 CV,30 000 - 34 999,5,Oui,Excellent,Automatique,WW au Maroc,272 000 DH
Mini,Cooper,2017,Essence,9 CV,55 000 - 59 999,3,Oui,Bon,Manuelle,WW au Maroc,172 000 DH
Volkswagen,Golf 8,2021,Essence,11 CV,110 000 - 119 999,5,Oui,Très bon,Automatique,Dédouanée,395 000 DH
Volkswagen,Tiguan,2025,Diesel,8 CV,0 - 4 999,,,Neuf,Automatique,Importée neuve,
Nissan,Juke,2022,Essence,6 CV,55 000 - 59 999,,Oui,,Automatique,WW au Maroc,195 000 DH
Audi,A6,2020,Diesel,8 CV,75 000 - 79 999,5,Non,Très bon,Automatique,WW au Maroc,370 000 DH
Dacia,Duster,2017,Diesel,6 CV,140 000 - 149 999,5,Non,Excellent,Manuelle,,135 000 DH
Mercedes-Benz,Classe E,2005,Diesel,11 CV,200 000 - 249 999,5,Non,,Automatique,Dédouanée,62 000 DH
Ssangyong,Actyon,2008,Diesel,8 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,46 000 DH
Renault,Express,2022,Diesel,6 CV,80 000 - 84 999,5,Oui,Excellent,Manuelle,WW au Maroc,150 000 DH
BMW,Série 5,2018,Diesel,8 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,285 000 DH
Kia,Picanto,2009,Essence,6 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,59 000 DH
Fiat,500,2017,Essence,6 CV,70 000 - 74 999,3,Oui,Très bon,Automatique,,108 000 DH
Citroen,Berlingo,2022,Diesel,6 CV,120 000 - 129 999,3,Oui,Bon,Manuelle,WW au Maroc,175 000 DH
Peugeot,206,2005,Diesel,6 CV,300 000 - 349 999,5,Non,Bon,Manuelle,WW au Maroc,57 000 DH
Dacia,Logan,2021,Diesel,6 CV,100 000 - 109 999,5,Oui,Très bon,Manuelle,WW au Maroc,126 000 DH
Volvo,XC40,2023,Essence,11 CV,20 000 - 24 999,5,Oui,Excellent,Automatique,WW au Maroc,330 000 DH
Volkswagen,Passat,2008,Diesel,8 CV,20 000 - 24 999,5,Oui,Excellent,Manuelle,Dédouanée,100 000 DH
Seat,Leon,2014,Diesel,6 CV,150 000 - 159 999,5,Non,Très bon,Manuelle,WW au Maroc,135 000 DH
Nissan,Micra,2018,Diesel,6 CV,100 000 - 109 999,5,,Très bon,Manuelle,,125 000 DH
Honda,Jazz,2004,Essence,8 CV,160 000 - 169 999,5,Non,Bon,Manuelle,WW au Maroc,40 000 DH
Renault,Megane,2018,Diesel,6 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,WW au Maroc,150 000 DH
Volkswagen,Polo,2005,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,59 000 DH
Audi,Q8,2022,Diesel,12 CV,100 000 - 109 999,5,Non,Excellent,Automatique,WW au Maroc,
Audi,Q5,2021,Diesel,8 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,Dédouanée,
Hyundai,Accent,2022,Diesel,6 CV,45 000 - 49 999,5,Oui,Bon,Automatique,WW au Maroc,205 000 DH
Volkswagen,Arteon,2019,Diesel,8 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,260 000 DH
Renault,Kadjar,2018,Diesel,6 CV,170 000 - 179 999,5,Non,Très bon,Manuelle,WW au Maroc,
Dacia,Sandero,2009,Essence,7 CV,170 000 - 179 999,5,Non,Bon,Manuelle,WW au Maroc,53 000 DH
Land Rover,Range Rover Sport,2021,Diesel,12 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,19,1998,Diesel,7 CV,450 000 - 499 999,5,Non,Bon,Automatique,WW au Maroc,38 000 DH
Ford,Kuga,2014,Diesel,8 CV,0 - 4 999,,,Excellent,Manuelle,,155 000 DH
Peugeot,106,1995,Essence,6 CV,5 000 - 9 999,,,Très bon,Manuelle,,26 000 DH
Peugeot,2008,2022,Diesel,6 CV,75 000 - 79 999,5,Oui,Excellent,Automatique,WW au Maroc,175 000 DH
Kia,Picanto,2008,Essence,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,59 000 DH
Audi,A4,2019,Diesel,8 CV,110 000 - 119 999,5,Oui,Très bon,Automatique,WW au Maroc,
Dacia,Logan,2019,Diesel,6 CV,65 000 - 69 999,5,Non,Excellent,Manuelle,WW au Maroc,115 000 DH
Seat,Mii,2017,Essence,6 CV,65 000 - 69 999,5,Non,Excellent,Manuelle,WW au Maroc,
Dacia,Logan,2019,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Porsche,Macan,2015,Essence,17 CV,85 000 - 89 999,5,Oui,Très bon,Automatique,Importée neuve,
BMW,Série 1,2012,Diesel,8 CV,200 000 - 249 999,3,,Excellent,Manuelle,,120 000 DH
Volvo,XC60,2014,Diesel,8 CV,160 000 - 169 999,5,Non,Neuf,Automatique,WW au Maroc,145 000 DH
Ford,Tourneo,2010,Diesel,7 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,Dédouanée,90 000 DH
BMW,Série 1,2010,Diesel,8 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,WW au Maroc,92 000 DH
Toyota,Yaris,2019,Essence,6 CV,150 000 - 159 999,5,,Excellent,Manuelle,WW au Maroc,118 999 DH
Volkswagen,Touareg,2012,Diesel,12 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,
BMW,Série 1,2021,Diesel,8 CV,75 000 - 79 999,5,Oui,Excellent,Automatique,Importée neuve,
Chevrolet,Cruze,2011,Essence,9 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,WW au Maroc,69 000 DH
Land Rover,Range Rover Sport,2018,Essence,29 CV,45 000 - 49 999,5,Oui,Excellent,Automatique,Importée neuve,
Audi,A4,2016,Diesel,8 CV,160 000 - 169 999,,,Bon,Automatique,,219 000 DH
BMW,Série 1,2017,Diesel,6 CV,190 000 - 199 999,5,Oui,Excellent,Automatique,WW au Maroc,193 000 DH
Renault,Clio,2021,Diesel,6 CV,50 000 - 54 999,,,,Manuelle,,
Fiat,Doblo,2020,Diesel,6 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,WW au Maroc,98 000 DH
Mercedes-Benz,Classe E,2004,Diesel,9 CV,250 000 - 299 999,5,Non,Excellent,Manuelle,Dédouanée,90 000 DH
Renault,Clio,2019,Diesel,6 CV,120 000 - 129 999,5,Oui,Bon,Automatique,WW au Maroc,135 000 DH
Mercedes-Benz,Classe C,2011,Diesel,9 CV,200 000 - 249 999,5,Non,Très bon,Automatique,Dédouanée,172 000 DH
DFSK,K01,2019,Essence,6 CV,65 000 - 69 999,,Oui,Excellent,Manuelle,WW au Maroc,67 000 DH
Audi,Q5,2022,Diesel,8 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,Dédouanée,
Audi,A4,2015,Diesel,8 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,WW au Maroc,172 000 DH
BMW,Série 3,2007,Diesel,12 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,Dédouanée,
Citroen,Xsara,2002,Diesel,7 CV,200 000 - 249 999,5,Non,Bon,Manuelle,WW au Maroc,40 000 DH
Mercedes-Benz,300,2021,Diesel,8 CV,80 000 - 84 999,,,Excellent,Automatique,Dédouanée,
Renault,Clio,2021,Diesel,6 CV,130 000 - 139 999,5,Oui,Très bon,Manuelle,WW au Maroc,155 000 DH
Hyundai,i20,2019,Diesel,6 CV,120 000 - 129 999,,,Excellent,Manuelle,WW au Maroc,123 000 DH
Renault,12,2014,Diesel,4 CV,0 - 4 999,5,Oui,Excellent,Manuelle,WW au Maroc,90 000 DH
Fiat,Tipo,2022,Essence,9 CV,15 000 - 19 999,5,Non,Excellent,Automatique,WW au Maroc,135 000 DH
Ford,Kuga,2021,Diesel,6 CV,55 000 - 59 999,5,Oui,Très bon,Automatique,WW au Maroc,275 000 DH
Renault,R9,1990,Diesel,6 CV,350 000 - 399 999,5,Non,Excellent,Manuelle,Dédouanée,30 000 DH
Mercedes-Benz,220,2005,Essence,8 CV,0 - 4 999,5,Oui,Très bon,Manuelle,Dédouanée,80 000 DH
Audi,Q8,2020,Essence,23 CV,65 000 - 69 999,5,,Très bon,Automatique,Importée neuve,
Land Rover,Range Rover Sport,2015,Diesel,17 CV,180 000 - 189 999,5,Oui,Très bon,Automatique,Importée neuve,300 000 DH
Kia,Picanto,2007,Essence,5 CV,200 000 - 249 999,,,,Manuelle,,50 000 DH
Volkswagen,Tiguan,2018,Diesel,8 CV,150 000 - 159 999,5,Oui,Bon,Automatique,WW au Maroc,230 000 DH
Volkswagen,Touareg,2022,Diesel,12 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,
Ford,Focus,2017,Diesel,6 CV,140 000 - 149 999,5,Non,Très bon,Manuelle,WW au Maroc,140 000 DH
Kia,Sorento,2021,Diesel,9 CV,70 000 - 74 999,5,,Excellent,Automatique,WW au Maroc,370 000 DH
Nissan,Qashqai,2021,Diesel,6 CV,130 000 - 139 999,5,Non,Neuf,Automatique,Dédouanée,
Tesla,Model 3,2024,Electrique,17 CV,5 000 - 9 999,5,Oui,Excellent,Automatique,Importée neuve,580 000 DH
