Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Renault,Clio,2012,Diesel,6 CV,190 000 - 199 999,5,Oui,Excellent,Manuelle,Dédouanée,
Dacia,Logan,2013,Essence,7 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,59 000 DH
Hyundai,Tucson,2019,Diesel,6 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,WW au Maroc,258 000 DH
Audi,Q7,2018,Diesel,12 CV,160 000 - 169 999,5,Non,Très bon,Automatique,WW au Maroc,330 000 DH
Dacia,Dokker,2020,Diesel,6 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,115 000 DH
Kia,Picanto,2022,Essence,6 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Renault,Clio,2018,Diesel,6 CV,110 000 - 119 999,5,Non,Très bon,Automatique,WW au Maroc,129 000 DH
Peugeot,309,1986,Diesel,8 CV,190 000 - 199 999,,,,Manuelle,Dédouanée,29 000 DH
BMW,Série 5,2013,Diesel,8 CV,10 000 - 14 999,5,Non,Excellent,Automatique,WW au Maroc,180 000 DH
Seat,Ateca,2023,Diesel,8 CV,20 000 - 24 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mini,CountryMan,2013,Diesel,8 CV,150 000 - 159 999,5,Non,Bon,Automatique,Importée neuve,138 000 DH
Peugeot,3008,2022,Diesel,8 CV,120 000 - 129 999,5,Non,Très bon,Automatique,WW au Maroc,270 000 DH
Peugeot,3008,2022,Diesel,8 CV,40 000 - 44 999,5,,Excellent,Automatique,WW au Maroc,
Land Rover,Range Rover Evoque,2017,Diesel,8 CV,100 000 - 109 999,5,Non,Très bon,Automatique,Importée neuve,290 000 DH
Opel,Astra,2015,Diesel,7 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,135 000 DH
Porsche,Macan,2016,Diesel,12 CV,150 000 - 159 999,5,Non,Excellent,Automatique,WW au Maroc,395 000 DH
Fiat,Doblo,2015,Diesel,5 CV,0 - 4 999,5,Oui,Excellent,Manuelle,WW au Maroc,70 000 DH
Volkswagen,Tiguan,2017,Diesel,8 CV,160 000 - 169 999,5,Non,Excellent,Automatique,Dédouanée,287 000 DH
Toyota,Yaris,2018,Diesel,5 CV,45 000 - 49 999,5,Oui,Bon,Manuelle,WW au Maroc,134 000 DH
Audi,Q7,2016,Diesel,12 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,370 000 DH
Jeep,Renegade,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Neuf,Automatique,WW au Maroc,
Suzuki,Alto,2012,Essence,5 CV,110 000 - 119 999,5,Non,Très bon,Manuelle,WW au Maroc,39 000 DH
Seat,Leon,2009,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,90 000 DH
Renault,Arkana,2023,Hybride,8 CV,35 000 - 39 999,5,Oui,Excellent,Automatique,WW au Maroc,239 000 DH
Seat,Ateca,2024,Diesel,8 CV,10 000 - 14 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,19,1992,Diesel,6 CV,350 000 - 399 999,5,Non,Très bon,Manuelle,Dédouanée,32 000 DH
Dacia,Duster,2020,Diesel,6 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,WW au Maroc,158 000 DH
Renault,Clio,2017,Diesel,5 CV,170 000 - 179 999,5,,Très bon,Automatique,Dédouanée,
Peugeot,3008,2019,Diesel,8 CV,100 000 - 109 999,5,Oui,Bon,Automatique,WW au Maroc,219 000 DH
Ford,Focus,2018,Diesel,6 CV,150 000 - 159 999,5,Non,Très bon,Manuelle,WW au Maroc,157 000 DH
Renault,Kangoo,2012,Diesel,6 CV,20 000 - 24 999,5,Non,Bon,Manuelle,WW au Maroc,83 000 DH
Citroen,C-Elysée,2022,Diesel,6 CV,45 000 - 49 999,5,Oui,Très bon,Manuelle,WW au Maroc,130 000 DH
Peugeot,309,1987,Diesel,7 CV,450 000 - 499 999,5,Non,Bon,Manuelle,Dédouanée,30 000 DH
Peugeot,508,2017,Diesel,6 CV,170 000 - 179 999,5,,Excellent,Manuelle,Importée neuve,139 000 DH
Renault,Megane,1996,Diesel,6 CV,180 000 - 189 999,5,Oui,Bon,Manuelle,Dédouanée,38 000 DH
Porsche,Macan,2018,Diesel,12 CV,130 000 - 139 999,5,Oui,Très bon,Automatique,WW au Maroc,
Dacia,Logan,2023,Essence,6 CV,0 - 4 999,,Oui,Neuf,Automatique,WW au Maroc,
Audi,Q5,2019,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,Dédouanée,500 000 DH
Mercedes-Benz,Classe E,2018,Diesel,9 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe E,1983,Essence,7 CV,200 000 - 249 999,5,Non,Très bon,Automatique,Dédouanée,200 000 DH
Volkswagen,Caddy,2021,Diesel,7 CV,120 000 - 129 999,,Non,Très bon,Manuelle,WW au Maroc,200 000 DH
Alfa Romeo,Giulietta,2010,Essence,8 CV,70 000 - 74 999,5,Non,Très bon,Manuelle,WW au Maroc,84 000 DH
Hyundai,Santa Fe,2010,Diesel,9 CV,150 000 - 159 999,5,Non,Bon,Manuelle,WW au Maroc,86 000 DH
Mercedes-Benz,Classe GLE,2025,Hybride,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Volkswagen,Touareg,2020,Diesel,12 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,398 000 DH
Jeep,Renegade,2020,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,WW au Maroc,200 000 DH
Fiat,500X,2023,Diesel,8 CV,45 000 - 49 999,5,Oui,Excellent,Automatique,WW au Maroc,
Seat,Ibiza,2021,Essence,6 CV,70 000 - 74 999,5,Oui,Très bon,Manuelle,WW au Maroc,132 000 DH
Dacia,Logan,2022,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Alfa Romeo,Giulietta,2014,Diesel,8 CV,130 000 - 139 999,5,,Très bon,Automatique,,120 000 DH
Mercedes-Benz,220,2019,Diesel,8 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,Importée neuve,490 000 DH
Opel,Astra,2015,Diesel,7 CV,200 000 - 249 999,3,Oui,Très bon,Manuelle,WW au Maroc,110 000 DH
Toyota,Corolla,2021,Hybride,10 CV,60 000 - 64 999,5,Non,Excellent,Automatique,WW au Maroc,
Opel,Corsa,2025,Diesel,6 CV,0 - 4 999,5,Oui,Neuf,Manuelle,WW au Maroc,
Toyota,Corolla,2007,Essence,8 CV,80 000 - 84 999,5,Oui,Très bon,Manuelle,,
Ford,Kuga,2021,Diesel,6 CV,150 000 - 159 999,5,,Excellent,Automatique,WW au Maroc,229 000 DH
Mercedes-Benz,Classe CLA,2019,Diesel,8 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,WW au Maroc,
Audi,A3,2018,Diesel,8 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,WW au Maroc,258 000 DH
Peugeot,206,2007,Essence,6 CV,150 000 - 159 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Volkswagen,Golf 2,1986,Diesel,6 CV,110 000 - 119 999,3,Non,Bon,Manuelle,Dédouanée,21 000 DH
Mercedes-Benz,Classe GLC,2025,Hybride,8 CV,0 - 4 999,5,Oui,Excellent,Automatique,Importée neuve,1 240 000 DH
Opel,Crossland,2021,Diesel,6 CV,90 000 - 94 999,5,Oui,Excellent,Manuelle,WW au Maroc,150 000 DH
Dacia,Duster,2014,Diesel,6 CV,180 000 - 189 999,,Non,Excellent,Manuelle,WW au Maroc,
Mercedes-Benz,220,2021,Diesel,8 CV,70 000 - 74 999,5,Oui,Très bon,Automatique,WW au Maroc,340 000 DH
Renault,Koleos,2010,Essence,14 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,,57 000 DH
Fiat,500,2014,Essence,6 CV,90 000 - 94 999,5,Non,Excellent,Manuelle,WW au Maroc,86 000 DH
Audi,Q5,2020,Diesel,8 CV,95 000 - 99 999,5,Oui,Neuf,Automatique,WW au Maroc,
Opel,Astra,2022,Hybride,6 CV,10 000 - 14 999,5,Oui,Excellent,Manuelle,Dédouanée,
BMW,Série 5,2012,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,
Porsche,Macan,2017,Diesel,12 CV,80 000 - 84 999,,,Excellent,Automatique,WW au Maroc,
Seat,Ateca,2017,Diesel,8 CV,110 000 - 119 999,5,Non,Excellent,Automatique,WW au Maroc,230 000 DH
Skoda,Octavia,2019,Diesel,8 CV,120 000 - 129 999,5,Non,Très bon,Manuelle,WW au Maroc,182 000 DH
Renault,Kangoo,2011,Diesel,6 CV,25 000 - 29 999,3,Oui,Excellent,Manuelle,WW au Maroc,85 000 DH
Audi,A6,2015,Diesel,8 CV,140 000 - 149 999,5,Non,Très bon,Automatique,Importée neuve,250 000 DH
Mercedes-Benz,Classe C,2016,Diesel,9 CV,150 000 - 159 999,3,,,Automatique,,
Jeep,Renegade,2024,Hybride,8 CV,10 000 - 14 999,5,Oui,Excellent,Automatique,WW au Maroc,236 900 DH
Mercedes-Benz,Classe A,2023,Diesel,8 CV,20 000 - 24 999,5,Oui,Neuf,Automatique,Dédouanée,
Renault,19,1994,Essence,8 CV,200 000 - 249 999,5,Non,Bon,Manuelle,Dédouanée,19 000 DH
Hyundai,Elantra,2001,Essence,9 CV,5 000 - 9 999,5,Non,Bon,Manuelle,WW au Maroc,30 000 DH
Renault,Clio,2022,Diesel,6 CV,50 000 - 54 999,5,Oui,Neuf,Manuelle,WW au Maroc,
Seat,Leon,2023,Diesel,8 CV,30 000 - 34 999,5,Non,Excellent,Manuelle,WW au Maroc,229 000 DH
Dacia,Dokker,2018,Diesel,6 CV,160 000 - 169 999,,,Excellent,Manuelle,,
Ford,Fiesta,2007,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,,58 000 DH
Rolls-Royce,Wraith,1986,Essence,27 CV,35 000 - 39 999,3,Oui,Excellent,Automatique,Dédouanée,
Ssangyong,Rexton,2008,Diesel,11 CV,350 000 - 399 999,5,Non,Correct,Automatique,WW au Maroc,40 000 DH
Nissan,Qashqai,2021,Diesel,6 CV,100 000 - 109 999,5,Oui,Neuf,Manuelle,WW au Maroc,225 000 DH
Kia,Picanto,2022,Essence,5 CV,70 000 - 74 999,5,Oui,Excellent,Manuelle,,
Volkswagen,Tiguan,2024,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Volkswagen,Coccinelle,2017,Diesel,8 CV,70 000 - 74 999,3,Oui,Excellent,Automatique,WW au Maroc,
Citroen,C4,2016,Diesel,6 CV,130 000 - 139 999,5,Non,Très bon,Automatique,Importée neuve,
Ford,Focus,2023,Diesel,6 CV,70 000 - 74 999,5,Non,Excellent,Automatique,WW au Maroc,215 000 DH
Fiat,500X,2020,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,Clio,2015,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,97 000 DH
Chevrolet,Cruze,2012,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,73 000 DH
Dacia,Sandero,2020,Diesel,6 CV,80 000 - 84 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Dacia,Logan,2016,Essence,6 CV,35 000 - 39 999,5,Oui,Excellent,Automatique,WW au Maroc,145 000 DH
Jaguar,F-Pace,2016,Diesel,8 CV,100 000 - 109 999,5,Non,Excellent,Automatique,WW au Maroc,
Renault,14,2005,Diesel,7 CV,10 000 - 14 999,5,,,Manuelle,,68 000 DH
Audi,Q5,2014,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,Dédouanée,240 000 DH
Mercedes-Benz,220,2007,Diesel,9 CV,300 000 - 349 999,5,Non,Excellent,Manuelle,Dédouanée,
Mercedes-Benz,Classe C,2024,Diesel,8 CV,0 - 4 999,5,,Neuf,Automatique,Dédouanée,
Jaguar,XF,2014,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,145 000 DH
Mercedes-Benz,Classe E,2017,Diesel,8 CV,120 000 - 129 999,5,Non,Excellent,Automatique,Importée neuve,
DFSK,Glory IX5,2022,Essence,8 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,WW au Maroc,159 000 DH
Volkswagen,Tiguan,2013,Diesel,8 CV,160 000 - 169 999,5,Non,Très bon,Manuelle,Dédouanée,185 000 DH
Mercedes-Benz,Classe CLA,2019,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,350 000 DH
Land Rover,Range Rover Sport,2012,Diesel,12 CV,130 000 - 139 999,5,Non,Excellent,Automatique,WW au Maroc,
Nissan,Qashqai,2018,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,WW au Maroc,
Land Rover,Range Rover Sport,2019,Diesel,12 CV,190 000 - 199 999,5,Non,Excellent,Automatique,WW au Maroc,
Volvo,XC60,2019,Diesel,8 CV,180 000 - 189 999,5,Non,Bon,Automatique,WW au Maroc,314 000 DH
Fiat,500,2018,Essence,7 CV,90 000 - 94 999,3,Non,Bon,Automatique,WW au Maroc,108 000 DH
Hyundai,i30,2014,Diesel,6 CV,65 000 - 69 999,5,Non,Excellent,Manuelle,WW au Maroc,130 000 DH
Peugeot,308,2015,Diesel,6 CV,200 000 - 249 999,5,,Excellent,Manuelle,WW au Maroc,120 000 DH
Porsche,Cayenne,2021,Hybride,17 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,Importée neuve,
Dacia,Sandero,2019,Diesel,6 CV,180 000 - 189 999,5,Oui,Excellent,Manuelle,,130 000 DH
Opel,Mokka,2018,Diesel,Plus de 41 CV,170 000 - 179 999,5,Non,Très bon,Manuelle,Pas encore dédouanée,190 000 DH
Land Rover,Range Rover Sport,2017,Diesel,12 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,Importée neuve,
Honda,Accord,2009,Essence,13 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,80 000 DH
Volvo,XC40,2019,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,Clio,2016,Diesel,6 CV,170 000 - 179 999,5,,Très bon,Manuelle,,95 000 DH
Volvo,XC60,2021,Diesel,8 CV,190 000 - 199 999,5,Non,Bon,Automatique,WW au Maroc,356 000 DH
Mercedes-Benz,Sprinter,2020,Diesel,9 CV,10 000 - 14 999,5,,Excellent,Automatique,WW au Maroc,275 000 DH
Hyundai,Elantra,1999,Diesel,4 CV,350 000 - 399 999,5,Oui,Correct,Manuelle,,30 000 DH
Fiat,500X,2021,Diesel,6 CV,70 000 - 74 999,5,Oui,Excellent,Manuelle,WW au Maroc,190 000 DH
Land Rover,Range Rover Sport,2016,Diesel,12 CV,190 000 - 199 999,5,Non,Excellent,Automatique,WW au Maroc,275 000 DH
Dacia,Logan,2007,Essence,8 CV,85 000 - 89 999,5,Non,Bon,Manuelle,WW au Maroc,45 000 DH
Nissan,Juke,2019,Diesel,6 CV,50 000 - 54 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Audi,A6,2020,Diesel,9 CV,75 000 - 79 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Caddy,2017,Diesel,6 CV,130 000 - 139 999,5,Non,Très bon,Automatique,WW au Maroc,146 000 DH
MG,MG3,2024,Essence,9 CV,15 000 - 19 999,5,Oui,Neuf,Manuelle,WW au Maroc,134 000 DH
Citroen,C3,2019,Diesel,6 CV,120 000 - 129 999,5,Oui,Très bon,Manuelle,WW au Maroc,123 000 DH
Peugeot,208,2022,Diesel,6 CV,25 000 - 29 999,5,Oui,Excellent,Manuelle,WW au Maroc,
BMW,Série 1,2012,Diesel,8 CV,200 000 - 249 999,3,Oui,Très bon,Manuelle,WW au Maroc,98 000 DH
Renault,Super 5,1985,Essence,5 CV,0 - 4 999,5,Non,Bon,Manuelle,WW au Maroc,17 000 DH
BMW,X4,2019,Diesel,8 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,220,2019,Diesel,8 CV,130 000 - 139 999,5,Non,Excellent,Automatique,Dédouanée,
Hyundai,Tucson,2023,Diesel,6 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,WW au Maroc,
Audi,Q3,2021,Diesel,8 CV,130 000 - 139 999,5,Oui,Bon,Automatique,WW au Maroc,420 000 DH
Dacia,Logan,2023,Essence,5 CV,60 000 - 64 999,5,Oui,Bon,Manuelle,WW au Maroc,115 000 DH
Volkswagen,Touareg,2021,Diesel,12 CV,75 000 - 79 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe GLC,2023,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Volkswagen,Touareg,2012,Diesel,6 CV,250 000 - 299 999,5,Oui,Très bon,Automatique,WW au Maroc,150 000 DH
Peugeot,208,2022,Diesel,6 CV,85 000 - 89 999,5,,Très bon,Automatique,WW au Maroc,
Renault,Clio,2020,Diesel,6 CV,160 000 - 169 999,5,Oui,Très bon,Manuelle,WW au Maroc,118 000 DH
Renault,Clio,2018,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,WW au Maroc,103 000 DH
Audi,A6,2017,Diesel,8 CV,170 000 - 179 999,5,,Très bon,Automatique,,230 000 DH
Ford,Ranger,2006,Diesel,12 CV,300 000 - 349 999,5,Non,Très bon,Manuelle,WW au Maroc,75 000 DH
Kia,K2700,2006,Diesel,11 CV,130 000 - 139 999,,,,Manuelle,WW au Maroc,73 000 DH
Mercedes-Benz,Classe A,2020,Diesel,8 CV,95 000 - 99 999,5,Oui,Neuf,Automatique,Dédouanée,445 000 DH
Land Rover,Range Rover Sport,2014,Diesel,12 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,Importée neuve,345 000 DH
Renault,Megane,2021,Diesel,6 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,WW au Maroc,215 000 DH
Jaguar,E-Pace,2020,Diesel,8 CV,60 000 - 64 999,5,Oui,Très bon,Automatique,WW au Maroc,354 000 DH
Volkswagen,Tiguan,2018,Diesel,8 CV,130 000 - 139 999,,Oui,Très bon,Automatique,Importée neuve,385 000 DH
Mercedes-Benz,Classe GLA,2014,Diesel,8 CV,190 000 - 199 999,5,,Excellent,Automatique,WW au Maroc,
Ford,Focus,2017,Diesel,6 CV,180 000 - 189 999,5,Non,Très bon,Manuelle,WW au Maroc,153 000 DH
Peugeot,Partner,2010,Diesel,7 CV,15 000 - 19 999,5,Non,Excellent,Manuelle,WW au Maroc,
Dacia,Logan,2023,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Dacia,Duster,2016,Diesel,6 CV,180 000 - 189 999,,,Très bon,Manuelle,,140 000 DH
Peugeot,208,2021,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Dacia,Dokker,2016,Diesel,7 CV,180 000 - 189 999,5,Non,Neuf,Manuelle,WW au Maroc,87 000 DH
Kia,Picanto,2021,Essence,4 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,110 000 DH
Dacia,Logan,2020,Diesel,6 CV,5 000 - 9 999,5,Oui,Excellent,Manuelle,WW au Maroc,105 000 DH
Ford,Kuga,2021,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,Dédouanée,280 000 DH
Toyota,C-HR,2021,Hybride,9 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,183 000 DH
Volkswagen,Polo,2014,Diesel,6 CV,190 000 - 199 999,,Non,Très bon,Manuelle,WW au Maroc,
Volkswagen,Tiguan,2014,Diesel,8 CV,160 000 - 169 999,,Oui,Excellent,Automatique,Dédouanée,230 000 DH
Opel,Crossland,2019,Diesel,6 CV,150 000 - 159 999,5,Non,Bon,Manuelle,WW au Maroc,105 000 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,90 000 - 94 999,5,Oui,Très bon,Automatique,Dédouanée,485 000 DH
Volkswagen,Golf 5,2007,Diesel,8 CV,0 - 4 999,5,Non,Excellent,Manuelle,Dédouanée,
Renault,Megane,2019,Diesel,4 CV,170 000 - 179 999,,,Très bon,Automatique,,
Land Rover,Range Rover Velar,2014,Diesel,11 CV,200 000 - 249 999,5,Oui,Très bon,Automatique,WW au Maroc,170 000 DH
Renault,Express,2023,Diesel,6 CV,40 000 - 44 999,,Non,Très bon,Manuelle,WW au Maroc,130 000 DH
Peugeot,3008,2019,Diesel,10 CV,140 000 - 149 999,5,,Excellent,Automatique,,
Hyundai,i40,2016,Diesel,7 CV,170 000 - 179 999,5,Non,Excellent,Automatique,WW au Maroc,145 000 DH
Volkswagen,Golf 7,2019,Diesel,8 CV,120 000 - 129 999,5,Oui,Neuf,Automatique,WW au Maroc,186 000 DH
Volkswagen,Tiguan,2014,Diesel,8 CV,180 000 - 189 999,5,,Excellent,Manuelle,WW au Maroc,175 000 DH
DS,DS4,2023,Diesel,6 CV,0 - 4 999,5,Oui,Excellent,Automatique,Dédouanée,335 000 DH
Mercedes-Benz,Classe E,2025,Diesel,9 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Renault,Express,2023,Diesel,6 CV,65 000 - 69 999,5,Oui,Très bon,Manuelle,WW au Maroc,155 000 DH
Ford,Focus,2016,Diesel,6 CV,250 000 - 299 999,5,Non,Excellent,Manuelle,WW au Maroc,132 000 DH
Citroen,C3,2019,Diesel,6 CV,35 000 - 39 999,5,Oui,Excellent,Manuelle,WW au Maroc,150 000 DH
Mercedes-Benz,190,1992,Diesel,8 CV,200 000 - 249 999,5,Non,Bon,Manuelle,Dédouanée,70 000 DH
Citroen,C4,2017,Diesel,6 CV,130 000 - 139 999,5,Oui,Très bon,Manuelle,Dédouanée,
Volkswagen,Tiguan,2020,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,Dédouanée,
Dacia,Logan,2009,Diesel,6 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,77 000 DH
Dacia,Sandero,2022,Diesel,6 CV,110 000 - 119 999,5,Non,,Manuelle,WW au Maroc,135 000 DH
Peugeot,308,2017,Diesel,6 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,
BMW,Série 3,2005,Diesel,8 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,Dédouanée,
Audi,Q5,2017,Diesel,8 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,WW au Maroc,289 900 DH
Renault,Clio,2021,Diesel,6 CV,100 000 - 109 999,5,Oui,Très bon,Manuelle,WW au Maroc,149 000 DH
Land Rover,Range Rover Velar,2017,Diesel,12 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mitsubishi,Grandis,2012,Essence,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,53 000 DH
Peugeot,306,1995,Essence,8 CV,5 000 - 9 999,5,Non,Bon,Manuelle,WW au Maroc,12 000 DH
Opel,Grandland,2021,Diesel,6 CV,110 000 - 119 999,,,,Manuelle,,134 000 DH
Renault,Megane,2021,Diesel,6 CV,150 000 - 159 999,5,,Excellent,Automatique,WW au Maroc,220 000 DH
Fiat,Doblo,2019,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Hyundai,Santa Fe,2022,Diesel,9 CV,60 000 - 64 999,5,Non,Très bon,Automatique,WW au Maroc,389 997 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,65 000 - 69 999,5,Oui,Très bon,Automatique,Importée neuve,
Renault,R11,1984,Diesel,6 CV,50 000 - 54 999,5,Non,Bon,Manuelle,Dédouanée,25 000 DH
Citroen,Berlingo,2021,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,180 000 DH
Renault,Megane,2018,Diesel,6 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,
Renault,Megane,2017,Diesel,6 CV,15 000 - 19 999,5,Non,Excellent,Manuelle,WW au Maroc,140 000 DH
Dacia,Sandero,2019,Diesel,6 CV,100 000 - 109 999,5,Oui,Correct,Manuelle,WW au Maroc,
Peugeot,208,2018,Diesel,6 CV,110 000 - 119 999,5,Non,Très bon,Manuelle,WW au Maroc,115 000 DH
Fiat,500,2017,Essence,7 CV,80 000 - 84 999,3,Oui,Très bon,Automatique,WW au Maroc,110 000 DH
BMW,Série 1,2020,Essence,9 CV,50 000 - 54 999,5,Oui,Excellent,Manuelle,Dédouanée,
Renault,19,1991,Diesel,Plus de 41 CV,0 - 4 999,,,Très bon,Manuelle,WW au Maroc,20 000 DH
Renault,Clio,2018,Diesel,7 CV,140 000 - 149 999,5,Non,Excellent,Manuelle,Importée neuve,
Peugeot,206,2001,Diesel,6 CV,140 000 - 149 999,5,Non,Correct,Manuelle,WW au Maroc,35 000 DH
Volkswagen,Polo,2005,Diesel,8 CV,200 000 - 249 999,5,,Très bon,Manuelle,Importée neuve,67 000 DH
Opel,Corsa,2021,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,147 000 DH
Mercedes-Benz,Classe B,2014,Diesel,6 CV,150 000 - 159 999,5,Oui,Très bon,Manuelle,WW au Maroc,160 000 DH
Citroen,C3,2019,Diesel,7 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,120 000 DH
Mercedes-Benz,Classe GLC,2018,Diesel,8 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,Dédouanée,
Audi,Q5,2020,Diesel,7 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,370 000 DH
Dacia,Duster,2019,Diesel,6 CV,90 000 - 94 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Citroen,C4,2023,Diesel,6 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,
Hyundai,Kona,2022,Hybride,8 CV,30 000 - 34 999,5,Oui,Excellent,Automatique,WW au Maroc,275 000 DH
Peugeot,208,2015,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Automatique,Dédouanée,
Audi,Q7,2006,Diesel,17 CV,200 000 - 249 999,3,Oui,Très bon,Automatique,Pas encore dédouanée,85 000 DH
BMW,Série 5,2012,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,170 000 DH
Peugeot,3008,2018,Diesel,8 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,195 000 DH
Renault,Megane,2011,Essence,9 CV,200 000 - 249 999,5,Non,Bon,Manuelle,WW au Maroc,76 000 DH
Opel,Astra,2011,Diesel,7 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,90 000 DH
Land Rover,Discovery Sport,2016,Diesel,8 CV,180 000 - 189 999,5,Non,Très bon,Automatique,WW au Maroc,
Daewoo,Matiz,2002,Essence,5 CV,25 000 - 29 999,5,Non,Très bon,Manuelle,Dédouanée,25 000 DH
Toyota,Corolla,2010,Diesel,6 CV,140 000 - 149 999,5,Oui,Excellent,Manuelle,Dédouanée,60 000 DH
Renault,Kangoo,2019,Diesel,6 CV,10 000 - 14 999,5,Oui,Très bon,Manuelle,,
Peugeot,3008,2019,Diesel,8 CV,95 000 - 99 999,5,,Excellent,Manuelle,WW au Maroc,
Audi,A3,2021,Diesel,8 CV,70 000 - 74 999,5,Non,Excellent,Automatique,Importée neuve,
